,Month,State,Total
977,3,Pennsylvania,4
978,3,Pennsylvania,4
979,3,Texas,4
980,3,Florida,4
981,3,Mississippi,4
982,3,California,5
983,3,North Carolina,5
984,3,California,5
985,3,Washington D.C.,5
986,3,Pennsylvania,4
987,2,Texas,4
988,2,South Carolina,4
989,2,Delaware,4
990,2,Louisiana,5
991,2,United States Virgin Isls,4
992,2,Indiana,4
993,2,Ohio,6
994,2,Mississippi,4
995,2,Mississippi,5
996,2,United States Virgin Isls,6
997,2,California,4
998,2,Texas,6
999,2,Louisiana,4
1000,2,North Carolina,4
1001,2,Missouri,5
1002,2,Louisiana,5
1003,2,Illinois,5
1004,2,Pennsylvania,4
1005,2,Colorado,4
1006,2,Louisiana,4
1007,2,Pennsylvania,8
1008,2,Florida,4
1009,2,Indiana,4
1010,2,North Carolina,4
1011,2,California,6
1012,2,California,6
1013,2,Georgia,5
1014,2,Georgia,4
1015,2,Texas,4
1016,2,Minnesota,5
1017,2,Alabama,4
1018,2,Louisiana,4
1019,2,Washington,4
1020,2,Tennessee,5
1021,2,Illinois,6
1022,2,Virginia,4
1023,2,Pennsylvania,4
1024,2,Mississippi,4
1025,2,North Carolina,5
1026,2,Tennessee,4
1027,2,Colorado,4
1028,2,Colorado,5
1029,2,Florida,6
1030,2,Oklahoma,7
1031,2,New York,4
1032,1,New York,5
1033,1,Pennsylvania,5
1034,1,Michigan,5
1035,1,California,4
1036,1,Washington D.C.,5
1037,1,Nevada,5
1038,1,Indiana,7
1039,1,Kentucky,5
1040,1,California,4
1041,1,Louisiana,4
1042,1,Pennsylvania,4
1043,1,Arizona,5
1044,1,Arizona,7
1045,1,Illinois,5
1046,1,California,5
1047,1,Pennsylvania,4
1048,1,Florida,4
1049,1,Texas,4
1050,1,Illinois,8
1051,1,Washington D.C.,5
1052,1,Virginia,4
1053,1,Texas,4
1054,1,Florida,5
1055,1,Florida,7
1056,1,Louisiana,4
1057,1,Texas,5
1058,1,Louisiana,5
1059,1,California,4
1060,1,Florida,4
1061,1,Oregon,4
1062,1,Florida,8
1063,1,Arkansas,7
1064,1,Iowa,5
1065,1,Texas,4
1066,1,Illinois,4
1067,12,Oregon,4
1068,12,Indiana,4
1069,12,United States Virgin Isls,4
1070,12,Massachusetts,6
1071,12,Florida,4
1072,12,Florida,4
1073,12,Illinois,6
1074,12,Arkansas,5
1075,12,Florida,5
1076,12,Florida,5
1077,12,Mississippi,5
1078,12,Kentucky,4
1079,12,Connecticut,4
1080,12,Illinois,6
1081,12,Pennsylvania,4
1082,12,Missouri,4
1083,12,West Virginia,4
1084,12,New York,4
1085,12,Maryl,4
1086,12,California,4
1087,12,New York,4
1088,12,Mississippi,5
1089,12,Georgia,4
1090,12,Louisiana,4
1091,12,Louisiana,5
1092,12,Texas,6
1093,12,North Carolina,6
1094,12,California,4
1095,12,Illinois,4
1096,12,Pennsylvania,4
1097,11,Alaska,4
1098,11,Tennessee,4
1099,11,Mississippi,11
1100,11,Louisiana,4
1101,11,South Carolina,15
1102,11,Ohio,6
1103,11,Georgia,6
1104,11,Nevada,5
1105,11,New York,7
1106,11,New Jersey,4
1107,11,Nebraska,4
1108,11,Arizona,5
1109,11,Illinois,6
1110,11,Michigan,4
1111,11,Wisconsin,8
1112,11,Florida,4
1113,11,South Carolina,4
1114,11,Texas,5
1115,11,Tennessee,4
1116,11,Illinois,4
1117,11,Florida,4
1118,11,Illinois,4
1119,11,Georgia,4
1120,11,Louisiana,5
1121,11,South Carolina,4
1122,11,California,5
1123,11,Ohio,4
1124,11,Missouri,4
1125,11,North Carolina,6
1126,11,Florida,6
1127,11,Florida,8
1128,11,Texas,4
1129,11,Tennessee,8
1130,11,Virginia,4
1131,11,South Carolina,4
1132,11,Kansas,4
1133,11,Louisiana,4
1134,11,Ohio,4
1135,11,Missouri,4
1136,11,Nevada,5
1137,11,North Carolina,4
1138,11,Indiana,4
1139,11,New Jersey,4
1140,11,South Carolina,6
1141,11,New York,4
1142,11,Oklahoma,4
1143,11,Arizona,4
1144,10,California,4
1145,10,Nevada,4
1146,10,Maryl,7
1147,10,California,4
1148,10,Washington,5
